year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,5173.522,4991.106,4849.322,4743.769,4670.045,4623.749,4600.479,4595.834,4605.412,4624.811,4653.731,4691.872,4714.325,4708.485,4682.255,4659.235,4638.418,4598.435,4532.201,4449.596,4369.882,4291.967,4219.519,4157.217,4105.774,4053.337,3992.812,3978.217,4032.219,4126.564,4214.746,4311.366,4357.213,4319.8,4228.146,4142.636,4049.846,3969.589,3917.36,3880.958,3832.898,3778.938,3716.797,3642.673,3559.462,3474.639,3387.645,3294.536,3194.396,3089.137,2980.789,2867.997,2758.834,2657.223,2559.23,2458.969,2359.984,2249.242,2120.429,1981.041,1845.236,1710.602,1584.46,1472.027,1370.407,1270.388,1172.495,1085.931,1013.934,952.517,894.066,839.646,786.027,730.679,674.653,622.552,574.683,522.919,464.068,401.964,343.118,285.604,236.76,200.697,173.808,148.36,125.883,104.871,83.793,63.648,43.366,29.073,23.195,16.488,8.95,4.897,4.019,3.061,2.024,0.907,0.851
2016,5097.667,5118.986,4970.564,4850.348,4755.968,4685.059,4633.255,4596.194,4581.492,4590.779,4615.694,4645.99,4683.4,4705.051,4698.374,4671.31,4647.434,4625.712,4585.13,4518.767,4436.349,4356.801,4279.072,4206.847,4144.771,4093.543,4041.347,3981.102,3966.607,4020.432,4114.416,4202.23,4298.424,4343.916,4306.292,4214.5,4128.781,4035.741,3955.127,3902.389,3865.36,3816.648,3761.995,3699.101,3624.163,3540.084,3454.352,3366.407,3272.327,3171.214,3064.97,2955.635,2841.887,2731.662,2628.825,2529.53,2428.022,2327.799,2216.054,2086.589,1946.796,1810.584,1675.549,1549.135,1436.578,1334.915,1234.898,1137.122,1050.351,977.622,915.168,855.865,800.753,746.529,690.701,634.397,582.158,534.185,483.211,426.428,367.248,311.369,257.022,211.12,177.477,152.678,129.121,109.11,90.74,71.999,53.683,36.173,24.484,19.495,13.817,7.45,4.407,3.36,2.226,1.005,0.967
2017,4943.153,4892.793,5070.062,4955.453,4856.659,4773.343,4705.169,4647.805,4596.92,4572.153,4581.158,4611.613,4643.316,4680.038,4700.911,4693.39,4665.464,4640.706,4618.055,4576.83,4510.265,4427.945,4348.477,4270.849,4198.767,4136.85,4085.781,4033.769,3973.738,3959.328,4013.035,4106.759,4194.302,4290.175,4335.361,4297.486,4205.457,4119.433,4026.043,3944.985,3891.68,3853.985,3804.567,3749.163,3685.448,3609.613,3524.576,3437.842,3348.85,3253.699,3151.503,3044.159,2933.718,2818.891,2707.484,2603.309,2502.606,2399.74,2298.172,2185.302,2055.043,1914.695,1777.926,1642.345,1515.52,1402.717,1300.9,1200.775,1103.011,1015.938,942.397,878.84,818.621,762.756,707.869,651.501,594.858,542.425,494.294,444.054,389.277,332.955,279.978,228.738,185.726,154.464,131.727,110.035,92.466,76.717,60.289,43.783,29.023,19.924,15.819,11.164,5.96,3.678,2.442,1.111,1.099
2018,4749.944,4801.558,4832.809,5023.401,4942.583,4865.187,4792.907,4727.44,4664.484,4599.739,4564.885,4573.613,4609.627,4642.754,4678.803,4698.906,4690.538,4661.735,4636.083,4612.493,4570.605,4503.808,4421.548,4342.123,4264.561,4192.591,4130.804,4079.872,4028.02,3968.176,3953.845,4007.457,4100.965,4188.275,4283.872,4328.771,4290.628,4198.319,4111.952,4018.168,3936.63,3882.733,3844.354,3794.206,3738.026,3673.459,3596.693,3510.658,3422.882,3332.801,3236.535,3133.208,3024.714,2913.116,2797.157,2684.516,2578.955,2476.795,2372.524,2269.563,2155.516,2024.404,1883.436,1746.048,1609.858,1482.565,1369.463,1267.445,1167.168,1069.37,981.956,907.569,842.879,781.715,725.072,669.496,612.561,555.552,502.902,454.592,405.063,352.269,298.781,248.687,200.532,160.392,131.501,110.817,90.982,75.849,62.716,48.597,33.893,21.881,15.369,12.146,8.513,4.471,2.673,1.226,1.244
2019,4576.432,4712.774,4808.199,4867.567,4974.787,4927.825,4871.877,4810.671,4747.938,4679.409,4600.815,4555.878,4564.325,4605.89,4640.429,4675.79,4695.116,4685.902,4656.233,4629.696,4605.175,4562.64,4495.636,4413.467,4334.116,4256.649,4184.818,4123.185,4072.408,4020.737,3961.103,3946.855,4000.353,4093.608,4180.652,4275.936,4320.532,4282.134,4189.581,4102.904,4008.761,3926.771,3872.303,3833.254,3782.395,3725.459,3660.064,3582.396,3495.394,3406.607,3315.472,3218.125,3113.706,3004.102,2891.388,2774.34,2660.506,2553.599,2450.02,2344.38,2240.065,2124.882,1992.966,1851.43,1713.475,1576.727,1449.013,1335.656,1233.477,1133.084,1035.289,947.568,872.362,806.562,744.476,687.075,630.83,573.35,515.997,463.148,414.678,365.88,315.09,264.46,217.269,172.222,134.973,108.464,89.844,71.875,59.187,48.677,36.875,23.981,14.723,10.804,8.465,5.857,2.979,1.35,1.399
2020,4465.732,4646.007,4776.09,4861.742,4908.724,4922.796,4909.72,4875.257,4825.166,4765.21,4691.154,4598.766,4543.777,4551.937,4599.024,4634.952,4669.602,4688.137,4678.084,4647.569,4620.165,4594.729,4551.576,4484.41,4402.389,4323.165,4245.846,4174.203,4112.765,4062.178,4010.722,3951.339,3937.185,3990.531,4083.471,4170.19,4265.096,4309.359,4270.733,4177.997,4091.068,3996.631,3914.246,3859.243,3819.551,3768.016,3710.362,3644.184,3565.665,3477.757,3388.02,3295.891,3197.53,3092.09,2981.451,2867.697,2749.639,2634.691,2526.509,2421.581,2314.646,2209.047,2092.807,1960.176,1818.169,1679.741,1542.528,1414.48,1300.944,1198.672,1098.233,1000.508,912.538,836.565,769.7,706.733,648.614,591.738,533.752,476.094,423.083,374.484,326.451,277.7,229.961,185.706,143.797,109.464,85.356,68.811,52.72,42.486,34.605,25.128,14.053,7.555,6.231,4.778,3.196,1.485,1.563
2021,4443.799,4504.28,4655.54,4767.743,4844.761,4890.465,4910.65,4911.109,4886.107,4835.674,4769.446,4692.829,4599.701,4543.905,4551.223,4597.466,4632.531,4666.279,4684.164,4673.846,4643.332,4615.923,4590.512,4547.43,4480.358,4398.444,4319.35,4242.173,4170.625,4109.203,4058.565,4007.032,3947.54,3933.181,3986.2,4078.712,4164.947,4259.296,4302.968,4263.738,4170.36,4082.713,3987.494,3904.209,3848.157,3807.296,3754.541,3695.611,3628.082,3548.135,3458.737,3367.47,3273.773,3173.824,3066.79,2954.553,2839.218,2719.632,2603.08,2493.169,2386.477,2277.867,2170.639,2053.061,1919.511,1776.895,1637.918,1500.253,1371.88,1258.132,1155.748,1055.352,957.879,870.027,793.895,726.776,663.795,605.835,549.528,492.669,436.603,385.282,338.399,292.783,247.403,203.62,162.423,124.62,95.269,73.921,58.444,44.373,35.826,29.115,21.076,11.709,6.788,5.223,3.505,1.636,1.737
2022,4483.603,4611.611,4538.381,4660.439,4754.628,4822.923,4867.303,4893.588,4907.597,4892.093,4841.368,4768.926,4689.822,4596.047,4539.499,4545.967,4591.319,4625.484,4658.296,4675.51,4664.939,4634.456,4607.069,4581.708,4538.741,4471.83,4390.105,4311.219,4234.261,4162.879,4101.537,4050.896,3999.337,3939.796,3925.247,3977.885,4069.876,4155.541,4249.238,4292.275,4252.479,4158.552,4070.273,3974.366,3890.263,3833.216,3791.226,3737.301,3677.154,3608.339,3527.042,3436.241,3343.533,3248.36,3146.921,3038.399,2924.673,2807.87,2686.874,2568.832,2457.3,2348.948,2238.768,2130.017,2011.217,1876.879,1733.795,1594.409,1456.428,1327.858,1214.01,1111.617,1011.365,914.241,826.596,750.38,683.074,620.14,562.399,506.716,451.043,396.627,347.049,301.931,258.781,216.822,177.043,138.949,105.295,80.962,62.398,48.007,35.971,29.122,23.589,16.999,9.351,5.7,3.84,1.798,1.918
2023,4559.852,4618.433,4668.697,4569.703,4662.497,4738.62,4798.155,4841.184,4873.549,4901.097,4895.097,4844.11,4765.501,4683.958,4589.593,4532.328,4537.942,4582.375,4615.62,4647.476,4664.011,4653.192,4622.758,4595.41,4570.115,4527.29,4460.58,4379.094,4300.465,4223.772,4152.601,4091.373,4040.763,3989.209,3929.655,3914.924,3967.15,4058.564,4143.606,4236.594,4278.97,4238.633,4144.215,4055.357,3958.821,3873.951,3815.945,3772.851,3717.791,3656.463,3586.405,3503.808,3411.66,3317.567,3220.976,3118.111,3008.166,2893.022,2774.823,2652.49,2533.031,2419.947,2310.001,2198.319,2088.112,1968.162,1833.119,1689.655,1549.944,1411.732,1283.043,1169.165,1066.824,966.777,870.062,782.676,706.423,638.972,576.123,518.635,463.612,409.157,356.423,308.618,265.292,224.633,186.12,150.367,115.399,85.913,66.61,50.842,37.543,27.551,22.403,18.051,12.912,6.988,4.179,1.965,2.108
2024,4633.78,4626.766,4631.364,4645.364,4600.983,4664.54,4722.615,4773.398,4815.076,4853.518,4894.589,4898.085,4846.836,4762.067,4678.087,4583.134,4525.152,4529.913,4573.428,4605.754,4636.655,4652.511,4641.443,4611.06,4583.751,4558.522,4515.837,4449.329,4368.082,4289.709,4213.282,4142.32,4081.209,4030.628,3979.079,3919.512,3904.6,3956.414,4047.252,4131.671,4223.952,4265.667,4224.789,4129.88,4040.444,3943.281,3857.645,3798.68,3754.485,3698.29,3635.782,3564.482,3480.586,3387.093,3291.618,3193.611,3089.32,2977.954,2861.394,2741.8,2618.132,2497.258,2382.623,2271.086,2157.904,2046.242,1925.144,1789.397,1645.553,1505.518,1367.075,1238.267,1124.36,1022.072,922.231,825.924,738.797,662.507,594.911,532.147,474.913,420.548,367.311,316.258,270.224,228.688,190.518,155.447,123.717,91.871,66.55,52.272,39.296,27.09,19.138,15.691,12.518,8.83,4.627,2.125,2.315
2025,4676.594,4626.894,4601.413,4596.447,4608.293,4633.245,4667.6,4707.654,4749.703,4790.041,4834.562,4889.156,4902.141,4850.619,4759.676,4673.243,4577.681,4518.971,4522.88,4565.488,4596.902,4626.855,4642.036,4630.719,4600.378,4573.102,4547.933,4505.38,4439.059,4358.033,4279.899,4203.721,4132.953,4071.944,4021.382,3969.827,3910.234,3895.138,3946.55,4036.833,4120.649,4212.242,4253.306,4211.879,4116.458,4026.426,3928.614,3842.194,3782.259,3736.952,3679.611,3615.911,3543.355,3458.143,3363.285,3266.407,3166.964,3061.226,2948.417,2830.415,2709.401,2584.373,2462.058,2345.849,2232.697,2117.991,2004.851,1882.58,1746.098,1601.844,1461.455,1322.751,1193.797,1079.835,977.578,877.92,782,695.113,618.769,551.013,488.321,431.327,377.608,325.577,276.192,231.918,192.162,156.471,124.831,97.115,68.381,47.215,37.956,27.768,16.651,10.736,8.987,6.992,4.753,2.269,2.54
2026,4680.748,4655.597,4618.526,4601.143,4600.472,4613.534,4636.654,4666.156,4702.557,4744.277,4786.242,4830.879,4884.805,4897.064,4844.787,4753.085,4665.881,4569.518,4510.218,4513.861,4556.427,4587.801,4617.743,4632.969,4621.738,4591.514,4564.377,4539.364,4496.936,4430.682,4349.672,4271.523,4195.28,4124.415,4063.286,4012.552,3960.759,3900.884,3885.303,3935.954,4025.278,4108.075,4198.549,4238.522,4196.107,4099.732,4008.646,3909.72,3822.032,3760.616,3713.674,3654.666,3589.261,3514.933,3427.885,3331.149,3232.369,3131,3023.378,2908.764,2789.015,2666.308,2539.703,2415.699,2297.598,2182.496,2066.022,1951.247,1827.735,1690.563,1546.063,1405.59,1266.997,1138.499,1025.381,924.29,826.031,731.771,646.647,572.081,506.195,445.562,390.723,339.587,290.718,244.873,203.413,167.484,136.405,108.075,82.393,57.374,39.974,32.062,23.371,13.902,9.362,7.274,4.95,2.392,2.789
2027,4656.713,4600.018,4635.364,4610.916,4601.629,4605.252,4619.533,4640.824,4665.477,4698.23,4739.629,4783.228,4827.988,4881.256,4892.791,4839.748,4747.274,4659.283,4562.104,4502.205,4505.582,4548.114,4579.452,4609.388,4624.662,4613.516,4583.402,4556.399,4531.539,4489.229,4423.031,4342.024,4263.848,4187.526,4116.554,4055.294,4004.381,3952.34,3892.172,3876.104,3926.003,4014.382,4096.175,4185.545,4224.433,4181.023,4083.677,3991.522,3891.467,3802.495,3739.59,3691.004,3630.32,3563.198,3487.085,3398.188,3299.558,3198.86,3095.548,2986.025,2869.586,2748.07,2623.65,2495.447,2369.735,2249.721,2132.651,2014.39,1897.961,1773.188,1635.303,1490.532,1349.954,1211.448,1083.386,971.093,871.152,774.274,681.66,598.284,525.486,461.458,402.873,350.181,301.621,255.906,213.593,174.94,142.833,116.36,91.336,67.683,46.376,32.738,26.173,18.978,11.155,7.489,5.1,2.5,3.061
2028,4614.178,4578.953,4560.101,4615.456,4603.634,4602.444,4610.362,4625.864,4645.328,4665.132,4694.239,4735.319,4780.556,4825.442,4878.055,4888.867,4835.055,4741.801,4653.017,4555.015,4494.512,4497.623,4540.123,4571.429,4601.36,4616.683,4605.621,4575.615,4548.746,4524.036,4481.841,4415.695,4334.684,4256.475,4180.07,4108.985,4047.59,3996.494,3944.202,3883.737,3867.18,3916.331,4003.771,4084.565,4172.836,4210.643,4166.234,4067.91,3974.679,3873.486,3783.225,3718.825,3668.591,3606.226,3537.383,3459.48,3368.726,3268.194,3165.57,3060.308,2948.874,2830.602,2707.311,2581.168,2451.357,2323.927,2201.992,2082.944,1962.887,1844.795,1718.752,1580.143,1435.092,1294.398,1155.97,1028.335,916.858,818.061,722.559,631.583,549.95,478.914,416.741,360.201,309.653,263.664,221.101,182.319,146.471,118.185,96.319,74.599,52.975,35.377,25.502,20.284,14.586,8.408,5.251,2.61,3.34
