year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,1525.382,1537.531,1538.241,1529.264,1512.352,1489.257,1461.732,1431.529,1400.401,1370.099,1341.333,1314.812,1297.505,1293.254,1300.68,1309.163,1314.349,1348.529,1424.627,1525.029,1621.451,1722.26,1789.883,1803.61,1781.009,1761.154,1737.185,1711.012,1687.817,1665.471,1637.148,1604.8,1572.217,1540.807,1510.444,1478.932,1445.915,1417.937,1397.784,1382.495,1366.71,1351.968,1333.502,1308.55,1279.602,1251.263,1221.834,1195.836,1175.727,1158.789,1139.634,1119.092,1095.347,1066.87,1034.337,1000.517,965.54,924.884,876.793,823.384,770.084,717.67,661.009,598.699,534.263,471.7,409.097,359.426,329.201,312.532,296.545,283.247,271.914,260.709,250.069,241.939,235.531,229.217,222.247,214.567,207.434,201.266,191.14,174.942,155.011,135.731,116.143,99.041,86.233,76.401,65.67,57.548,50.043,40.657,29.39,21.966,18.964,15.67,12.084,8.205,19.292
2016,1543.079,1531.19,1538.081,1535.5,1524.872,1507.623,1485.486,1460.192,1431.639,1400.642,1369.545,1340.606,1314.251,1296.906,1292.302,1299.171,1307.13,1311.797,1345.476,1421.127,1521.139,1617.175,1717.584,1785.005,1798.814,1776.487,1756.91,1733.255,1707.363,1684.361,1662.15,1633.989,1601.806,1569.373,1538.095,1507.842,1476.417,1443.465,1415.506,1395.316,1379.941,1364.034,1349.122,1330.473,1305.337,1276.184,1247.606,1217.937,1191.54,1170.807,1153.105,1133.202,1111.899,1087.487,1058.506,1025.587,991.393,956.077,915.128,866.783,813.171,759.705,707.131,650.487,588.443,524.426,462.264,400.079,350.696,320.539,303.781,287.712,274.328,262.799,251.26,240.194,231.655,224.874,218.129,210.646,202.445,194.845,188.211,177.981,162.215,143.078,124.262,105.621,90.229,78.032,67.975,58.082,50.921,44.125,35.695,25.632,19.894,16.473,12.717,8.626,20.229
2017,1566.519,1571.716,1536.071,1537.694,1531.82,1519.546,1501.972,1480.807,1457.76,1430.876,1400.031,1368.156,1339.061,1312.889,1295.515,1290.561,1296.869,1304.299,1308.444,1341.6,1416.758,1516.32,1611.909,1711.858,1779.034,1792.918,1770.879,1751.591,1728.264,1702.67,1679.875,1657.813,1629.83,1597.833,1565.571,1534.444,1504.319,1473,1440.132,1412.21,1391.995,1376.543,1360.524,1345.452,1326.63,1301.326,1271.985,1243.186,1213.294,1186.515,1165.17,1146.713,1126.074,1104.022,1078.956,1049.489,1016.205,981.656,946.024,904.805,856.236,802.453,748.854,696.151,639.558,577.819,514.26,452.537,390.809,341.745,311.675,294.836,278.696,265.233,253.516,241.65,230.164,221.22,214.07,206.898,198.906,190.188,182.125,175.03,164.703,149.377,131.047,112.708,95.025,81.354,69.776,59.5,50.452,44.257,38.176,30.708,21.853,17.445,13.477,9.09,21.073
2018,1588.495,1586.306,1579.06,1540.329,1536.685,1527.521,1513.607,1495.714,1475.529,1454.74,1429.535,1398.853,1366.213,1336.974,1310.996,1293.601,1288.298,1294.043,1300.941,1304.561,1337.181,1411.816,1510.887,1605.992,1705.441,1772.345,1786.297,1764.555,1745.564,1722.576,1697.289,1674.71,1652.807,1625.013,1593.214,1561.135,1530.172,1500.188,1468.987,1436.218,1408.343,1388.111,1372.589,1356.464,1341.238,1322.251,1296.789,1267.272,1238.263,1208.16,1181.01,1159.061,1139.858,1118.491,1095.699,1069.99,1040.048,1006.412,971.522,935.588,894.118,845.344,791.412,737.702,684.891,628.372,566.963,503.887,442.628,381.381,332.656,302.685,285.773,269.569,256.032,244.131,231.943,220.042,210.697,203.181,195.584,187.086,177.855,169.333,161.779,151.358,136.48,118.963,101.109,84.392,72.447,61.493,51.002,42.802,37.576,32.211,25.708,18.067,14.293,9.575,21.895
2019,1599.143,1592.671,1583.322,1571.381,1544.433,1535.525,1523.073,1507.521,1489.311,1470.108,1451.577,1428.053,1397.537,1364.136,1334.756,1308.974,1291.559,1285.909,1291.09,1297.456,1300.551,1332.633,1406.737,1505.308,1599.919,1698.857,1765.484,1779.503,1758.059,1739.368,1716.72,1691.742,1669.382,1647.639,1620.038,1588.44,1556.547,1525.751,1495.91,1464.832,1432.163,1404.338,1384.091,1368.501,1352.272,1336.894,1317.744,1292.125,1262.436,1233.22,1202.91,1175.391,1152.842,1132.894,1110.801,1087.272,1060.923,1030.509,996.525,961.299,925.066,883.348,834.374,780.299,726.482,673.57,617.131,556.056,493.47,432.681,371.922,323.539,293.67,276.687,260.419,246.812,234.728,222.219,209.905,200.16,192.279,184.258,175.255,165.512,156.532,148.52,138.007,123.577,106.876,89.506,73.757,63.539,53.209,42.504,35.152,30.894,26.246,20.709,14.281,10.052,22.798
2020,1591.863,1587.266,1580.524,1571.752,1561.065,1548.579,1534.41,1518.673,1501.483,1482.957,1464.735,1448.459,1426.614,1396.264,1362.102,1332.579,1306.992,1289.558,1283.56,1288.178,1294.011,1296.583,1328.127,1401.704,1499.777,1593.897,1692.329,1758.68,1772.767,1751.62,1733.227,1710.919,1686.25,1664.107,1642.524,1615.114,1583.717,1552.009,1521.379,1491.68,1460.722,1428.153,1400.378,1380.116,1364.457,1348.123,1332.592,1313.278,1287.504,1257.641,1228.217,1197.699,1169.811,1146.66,1125.968,1103.15,1078.883,1051.894,1021.008,986.675,951.11,914.578,872.612,823.436,769.216,715.292,662.277,605.915,545.174,483.075,422.754,362.479,314.439,284.67,267.615,251.284,237.604,225.337,212.508,199.78,189.635,181.389,172.944,163.437,153.182,143.744,135.274,124.669,110.687,94.799,77.914,63.131,54.638,44.931,34.012,27.508,24.219,20.287,15.713,10.498,23.85
2021,1562.965,1585.983,1583.987,1578.859,1570.882,1560.339,1547.321,1531.918,1515.37,1498.344,1480.547,1462.689,1446.63,1424.767,1394.038,1359.265,1329.166,1303.001,1285.025,1278.573,1282.814,1288.267,1290.452,1321.781,1395.388,1493.662,1587.994,1686.674,1753.266,1767.549,1746.57,1728.369,1706.262,1681.782,1659.806,1638.366,1611.081,1579.785,1548.144,1517.539,1487.823,1456.808,1424.137,1396.218,1375.773,1359.884,1343.281,1327.466,1307.729,1281.336,1250.73,1220.559,1189.262,1160.668,1136.945,1115.771,1092.462,1067.727,1040.259,1008.858,974.006,937.989,901.079,858.764,809.261,754.77,700.62,647.36,591.102,530.974,469.8,410.374,351.052,303.69,274.134,256.98,240.604,226.882,214.508,201.516,188.595,178.262,169.856,161.266,151.638,141.319,131.733,123.702,113.582,100.048,84.276,68.648,55.995,48.287,39.524,29.705,24.948,20.88,16.197,10.899,25.092
2022,1516.133,1537.973,1580.509,1581.113,1577.598,1570.415,1560.013,1546.458,1529.817,1512.455,1495.588,1478.516,1461.017,1445.171,1423.285,1392.17,1356.776,1326.093,1299.343,1280.821,1273.914,1277.778,1282.853,1284.65,1315.772,1389.43,1487.928,1582.496,1681.449,1748.301,1762.784,1741.967,1723.954,1702.043,1677.744,1655.929,1634.629,1607.461,1576.259,1544.676,1514.087,1484.347,1453.268,1420.485,1392.416,1371.783,1355.658,1338.783,1322.68,1302.513,1275.496,1244.14,1213.213,1181.129,1151.821,1127.52,1105.858,1082.053,1056.843,1028.888,996.964,961.585,925.107,887.809,845.134,795.292,740.515,686.125,632.606,576.438,516.908,456.644,398.098,339.712,293.017,263.666,246.409,229.984,216.216,203.732,190.575,177.456,166.934,158.365,149.628,139.876,129.492,119.754,112.16,102.523,89.433,73.773,59.399,48.871,41.948,34.125,25.404,21.297,16.551,11.264,26.49
2023,1461.458,1501.651,1532.214,1575.154,1578.359,1576.458,1570.068,1559.806,1545.714,1527.833,1509.655,1492.946,1476.597,1459.457,1443.823,1421.912,1390.407,1354.39,1323.121,1295.784,1276.714,1269.35,1272.838,1277.534,1278.945,1309.862,1383.576,1482.307,1577.118,1676.352,1743.468,1758.151,1737.495,1719.668,1697.952,1673.833,1652.178,1631.014,1603.963,1572.851,1541.324,1510.75,1480.983,1449.837,1416.94,1388.719,1367.896,1351.535,1334.386,1317.993,1297.396,1269.752,1237.642,1205.957,1173.084,1143.058,1118.177,1096.025,1071.722,1046.036,1017.591,985.142,949.232,912.29,874.6,831.563,781.376,726.311,671.676,617.895,561.812,502.875,443.516,385.846,328.394,282.362,253.214,235.852,219.376,205.562,192.966,179.643,166.326,155.613,146.88,137.996,128.12,117.668,107.778,100.621,91.466,78.82,63.27,50.149,41.749,35.609,28.727,21.103,16.871,11.625,27.958
2024,1413.223,1466.989,1508.897,1539.929,1569.366,1575.172,1574.886,1569.292,1559.173,1544.547,1525.431,1506.441,1489.894,1474.274,1457.498,1442.079,1420.15,1388.264,1351.633,1319.786,1291.869,1272.256,1264.438,1267.549,1271.864,1272.889,1303.592,1377.341,1476.278,1571.306,1670.795,1738.156,1753.037,1732.547,1714.911,1693.395,1669.463,1647.974,1626.953,1600.025,1569.013,1537.55,1506.999,1477.214,1446.008,1413.007,1384.64,1363.633,1347.04,1329.622,1312.945,1291.922,1263.658,1230.803,1198.369,1164.714,1133.98,1108.525,1085.89,1061.095,1034.939,1006.012,973.047,936.615,899.219,861.149,817.76,767.244,711.904,657.039,603.01,547.028,488.701,430.264,373.486,316.982,271.627,242.69,225.228,208.706,194.849,182.145,168.659,155.148,144.246,135.352,126.323,116.325,105.809,95.77,89.052,80.382,68.182,52.748,40.883,34.612,29.258,23.319,16.795,12.021,29.37
2025,1381.514,1439.553,1485.764,1521.097,1546.504,1562.934,1571.337,1572.665,1567.868,1557.896,1542.742,1522.4,1502.607,1486.229,1471.344,1454.937,1439.741,1417.801,1385.549,1348.319,1315.907,1287.422,1267.275,1259.005,1261.738,1265.672,1266.309,1296.786,1370.54,1469.642,1564.848,1664.55,1732.129,1747.2,1726.886,1709.449,1688.141,1664.406,1643.091,1622.222,1595.428,1564.528,1533.143,1502.628,1472.836,1441.584,1408.492,1379.992,1358.81,1341.992,1324.312,1307.356,1285.917,1257.045,1223.459,1190.289,1155.868,1124.438,1098.42,1075.311,1050.034,1023.419,994.023,960.555,923.618,885.783,847.348,803.626,752.8,697.209,642.137,587.882,532.024,474.331,416.84,360.976,305.445,260.784,232.07,214.515,197.954,184.06,171.253,157.609,143.91,132.825,123.773,114.603,104.487,93.912,83.726,77.45,69.268,57.521,42.208,31.604,27.465,22.898,17.904,12.482,30.637
2026,1373.575,1390.525,1441.046,1482.546,1515.509,1540.422,1558.21,1569.801,1573.469,1568.814,1557.647,1542.2,1522.052,1502.219,1485.444,1469.933,1452.941,1437.162,1414.683,1381.989,1344.405,1311.635,1282.778,1262.467,1254.334,1257.4,1261.672,1262.688,1293.479,1367.407,1466.592,1561.91,1661.726,1729.411,1744.589,1724.371,1707.002,1685.737,1662.009,1640.659,1619.715,1592.807,1561.744,1530.179,1499.48,1469.478,1437.978,1404.629,1375.701,1353.847,1336.203,1317.691,1299.854,1277.648,1248.218,1214.201,1180.559,1145.663,1113.702,1087.055,1063.255,1037.33,1010.127,980.058,945.784,907.991,869.382,830.227,786.001,734.98,679.44,624.454,570.303,514.85,457.965,401.531,346.738,292.358,248.578,220.28,202.837,186.452,172.743,160.092,146.598,133.052,122.054,113.442,104.534,94.574,83.951,74.371,68.657,61.166,50.57,36.869,28.653,23.991,18.79,13.047,31.76
2027,1382.372,1416.67,1398.464,1441.42,1478.171,1508.737,1533.136,1552.27,1567.042,1573.049,1568.54,1556.186,1540.458,1520.519,1500.663,1483.504,1467.379,1449.812,1433.462,1410.462,1377.352,1339.441,1306.339,1277.132,1256.672,1248.682,1252.081,1256.687,1258.082,1289.163,1363.207,1462.398,1557.755,1657.606,1725.346,1740.618,1720.512,1703.225,1682.02,1658.318,1636.949,1615.946,1588.945,1557.742,1526.021,1495.163,1464.975,1433.25,1399.669,1370.335,1347.828,1329.37,1310.039,1291.333,1268.377,1238.412,1203.991,1169.901,1134.557,1102.09,1074.834,1050.36,1023.807,996.036,965.318,930.263,891.642,852.288,812.444,767.748,716.572,661.125,606.27,552.264,497.259,441.227,385.896,332.216,279.031,236.167,208.308,190.99,174.794,161.281,148.796,135.461,122.081,111.178,103.013,94.374,84.578,73.916,64.948,59.801,53.008,43.574,31.497,25.321,19.863,13.673,32.708
2028,1398.484,1412.144,1427.806,1405.758,1441.131,1473.119,1501.274,1525.147,1545.618,1563.565,1571.907,1567.546,1554.011,1538.009,1518.288,1498.418,1480.882,1464.15,1446.018,1429.105,1405.593,1372.083,1333.864,1300.444,1270.901,1250.302,1242.458,1246.187,1251.125,1252.899,1284.255,1358.381,1457.534,1552.885,1652.726,1720.489,1735.849,1715.864,1698.667,1677.531,1653.865,1632.488,1611.435,1584.353,1553.025,1521.164,1490.16,1459.799,1427.864,1394.067,1364.342,1341.19,1321.928,1301.787,1282.221,1258.526,1228.039,1193.229,1158.709,1122.933,1089.974,1062.123,1036.986,1009.818,981.492,950.137,914.319,874.888,834.808,794.293,749.147,697.839,642.512,587.811,533.975,479.444,424.291,370.087,317.545,265.58,223.65,196.243,179.059,163.059,149.749,137.435,124.266,111.056,100.254,92.539,84.173,74.545,63.85,55.499,50.92,44.829,36.559,26.112,20.981,14.311,33.597
